role_id,app_id,menu_id,permission
1,1,1,manage
1,1,2,manage
1,1,3,manage
1,1,4,manage
1,1,6,manage
1,2,7,manage
1,2,8,manage
1,2,23,manage
1,2,21,manage
1,2,22,manage
1,4,35,manage
1,4,36,manage
1,4,37,manage
1,4,38,manage
1,4,40,manage
1,5,41,manage
1,5,42,manage
1,5,43,manage
1,6,77,manage
1,6,78,manage
1,6,79,manage
2,1,1,manage
2,1,2,manage
2,1,3,manage
2,1,4,manage
2,1,6,manage
2,4,35,manage
2,4,36,manage
2,4,37,manage
2,4,38,manage
2,4,40,manage
3,1,1,manage
3,1,2,manage
3,1,3,manage
3,1,4,manage
3,1,6,manage
4,4,35,manage
4,4,36,manage
4,4,37,manage
4,4,38,manage
4,4,40,manage
5,4,35,manage
5,4,36,manage
5,4,37,manage
5,4,38,manage
5,4,40,manage
5,4,87,manage
5,4,88,manage
5,4,89,manage
5,4,90,manage
5,4,91,manage
5,4,92,manage
6,4,35,manage
6,4,36,manage
6,4,37,manage
6,4,38,manage
6,4,40,manage
6,4,87,manage
6,4,88,manage
6,4,89,manage
6,4,90,manage
6,4,91,manage
6,4,92,manage
7,4,35,manage
7,4,36,manage
7,4,37,manage
7,4,38,manage
7,4,40,manage
8,4,35,manage
8,4,36,manage
8,4,37,manage
8,4,38,manage
8,4,40,manage
9,4,35,manage
9,4,36,manage
9,4,37,manage
9,4,38,manage
9,4,40,manage
9,4,87,manage
9,4,88,manage
9,4,89,manage
9,4,90,manage
9,4,91,manage
9,4,92,manage
